clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
s__Bifidobacterium_actinocoloniiforme	0	0.0570931	0	0	0	0	0	0	0	0	0.0022983	0	0	0.006546	0	0.0108243	0.0048404	0	0	0	0	0.0014977	0	0	0.0020175	0	0.0018765	0.0025992	0	0.0022529
s__Bifidobacterium_angulatum	0	0	0	0	0	0	0	0.017236	0	0	0	0	0	0.0084153	0	0	0	0	0.0011983	0	0.0052959	0	0	0	0	0.0023328	0.0043354	0	0.0002121	0
s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026334	0.0020134	0.0182112	0	0.0028587	0.0106037	0	0	0	0	0	0	0	0.001018	0
s__Bifidobacterium_asteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007484	0	0	0	0	0	0	0	0.0139221	0	0	0.0017206	0.0006028	0	0.0004596	0
s__Bifidobacterium_choerinum	0	0	0	0	0	0	0	0	0	0	0	0	0.0045876	0	0	0	0.0034545	0	0	0	0.0034904	0	0	0	0	0	0	0.003131	0	0
s__Bifidobacterium_lemurum	0	0	0	0	0	0	0	0	0	0.0503825	0	0	0	0.0014897	0	0.0118741	0	0	0	0.0019932	0	0	0	0.0012204	0	0.0028346	0.0019798	0.0008416	0.0017475	0
s__Bifidobacterium_scardovii	0	0	0	0	0	0	0	0	0	0	0.0094852	0	0	0	0	0	0.0461876	0	0	0	0	0	0	0	0	0.0007875	0.0025768	0.0003296	0.0007953	0
s__Bifidobacterium_subtile	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188648	0	0	0	0.0067913	0	0	0	0.0074626	0	0	0	0	0	0.0011933	0	0
s__Blastochloris_viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003441	0	0	0	0	0.00167	0	0	0.0011185
s__Bordetella_avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048636	0.0007579	0	0	0	0	0	0.0049453	0	0	0	0.0010586	0	0	0	0.0037425
s__Bordetella_holmesii	0	0	0	0	0	0	0	0.0077551	0	0	0	0	0	0.006723	0.022096	0.0074187	0	0.0007303	0	0	0	0	0	0	0	0.0001799	0.0003647	0	0	0.0023433
s__Bordetella_trematum	0	0	0	0	0	0	0	0	0	0	0	0.0355625	0	0	0	0	0	0	0	0	0	0	0	0	0.0058056	0	0	0.0019371	0.0003586	0
s__Borrelia_hermsii	0	0	0	0	0	0	0	0	0	0	0.0044018	0	0	0	0	0	0.0030318	0	0	0.0085003	0	0.0106402	0	0	0.0038368	0	0.0008856	0	0.009584	0
s__Borrelia_miyamotoi	0	0	0	0	0	0	0	0.0308772	0.028657	0	0.0128228	0	0.0033562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009227	0.0018654	0.0004109
s__Borrelia_parkeri	0	0	0	0	0	0	0	0	0	0	0.0000505	0	0	0.0000052	0	0	0	0	0	0.0000278	0	0	0	0	0	0	0	0	0.0000434	0
s__Borreliella_burgdorferi	0	0	0	0	0	0	0	0.0016566	0.0321594	0	0	0.0163275	0.0023315	0	0	0	0.0208609	0.0057369	0.0014669	0.0023976	0	0	0.0007364	0.0104039	0.0002093	0.0004816	0.0019523	0.0002932	0.0020202	0.001124
s__Brachybacterium_faecium	0	0	0	0	0	0	0	0	0	0	0	0.0088415	0	0	0	0	0.0093784	0.0031286	0	0.0187693	0	0	0	0	0	0.007621	0.008451	0	0	0
s__Brachyspira_pilosicoli	0	0	0	0.0096417	0.0071453	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143724	0	0	0	0.0020631	0.0156543	0.0005544	0	0.0065621	0.0024955	0	0
s__Bradyrhizobium_icense	0	0	0	0.025591	0.0146846	0	0	0	0	0	0	0	0	0	0	0.0191436	0	0	0	0.0354683	0	0.0035924	0	0	0	0.0023199	0	0	0.0036831	0.0002657
s__Bradyrhizobium_japonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049876	0.0089589	0	0.0044761	0	0	0	0	0.0004864	0	0	0.0009481	0.0010569
s__Bradyrhizobium_oligotrophicum	0	0	0	0	0	0	0.021501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005796	0.0018023	0.0043766	0	0
s__Bradyrhizobium_paxllaeri	0	0	0	0	0	0	0	0	0	0	0.0270761	0	0	0.0028558	0	0	0	0	0	0	0	0	0	0.0123573	0	0	0	0.001078	0.00381	0.0058482
s__Brenneria_goodwinii	0	0.007457	0	0	0	0	0	0	0	0	0	0	0	0	0.0012705	0	0	0	0	0	0	0	0.0013821	0	0	0	0	0.0016592	0.00248	0
