trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_0	KNN	Log_1723	KNNLog_1723	M01_Log_1723	0.989895711	0.946073925	0.922938455	0.931350519	0.872399632	0.967488852
try_1	KNN	Log_1723	KNNLog_1723	M01_Log_1723	0.989895711	0.946073925	0.922938455	0.931350519	0.872399632	0.967488852
try_2	KNN	Log_1723	KNNLog_1723	M01_Log_1723	0.989895711	0.946073925	0.922938455	0.931350519	0.872399632	0.967488852
try_3	KNN	Log_1723	KNNLog_1723	M01_Log_1723	0.989895711	0.946073925	0.922938455	0.931350519	0.872399632	0.967488852
try_4	KNN	Log_1723	KNNLog_1723	M01_Log_1723	0.989895711	0.946073925	0.922938455	0.931350519	0.872399632	0.967488852
try_0	KNN	Log_173	KNNLog_173	M02_Log_173	0.988467108	0.956616015	0.9105439	0.930123252	0.870082599	0.972280778
try_2	KNN	Log_173	KNNLog_173	M02_Log_173	0.988467108	0.956616015	0.9105439	0.930123252	0.870082599	0.972280778
try_3	KNN	Log_173	KNNLog_173	M02_Log_173	0.988467108	0.956616015	0.9105439	0.930123252	0.870082599	0.972280778
try_4	KNN	Log_173	KNNLog_173	M02_Log_173	0.988467108	0.956616015	0.9105439	0.930123252	0.870082599	0.972280778
try_0	KNN	Log_723	KNNLog_723	M03_Log_723	0.989913003	0.944548327	0.918916464	0.929381501	0.86827827	0.966698746
try_1	KNN	Log_723	KNNLog_723	M03_Log_723	0.989913003	0.944548327	0.918916464	0.929381501	0.86827827	0.966698746
try_2	KNN	Log_723	KNNLog_723	M03_Log_723	0.989913003	0.944548327	0.918916464	0.929381501	0.86827827	0.966698746
try_3	KNN	Log_723	KNNLog_723	M03_Log_723	0.989913003	0.944548327	0.918916464	0.929381501	0.86827827	0.966698746
try_4	KNN	Log_723	KNNLog_723	M03_Log_723	0.989913003	0.944548327	0.918916464	0.929381501	0.86827827	0.966698746
try_0	KNN	Log_1735	KNNLog_1735	M04_Log_1735	0.98958314	0.961268493	0.898744171	0.927108328	0.863895026	0.975220337
try_1	KNN	Log_1735	KNNLog_1735	M04_Log_1735	0.98958314	0.961268493	0.898744171	0.927108328	0.863895026	0.975220337
